timestamp,user_id,username,channel_id,channel_name,message_content,message_type,level,xp
2024-11-11T00:13:25.925926,726687468103008298,deathghoul_,1260668743659556929,general,hello,chat,1,1.0
2024-11-11T00:13:27.157204,726687468103008298,deathghoul_,1260668743659556929,general,hi,chat,1,2.0
2024-11-11T00:25:48.596313,726687468103008298,deathghoul_,1260668743659556929,general,hello,chat,1,3.0
2024-11-11T00:25:55.056636,726687468103008298,deathghoul_,1260668743659556929,general,myname is harsh,chat,1,4.0
2024-11-11 04:22:11.966276,726687468103008298,deathghoul_,1260668743659556929,general,hi,message,1,5.0
2024-11-11 04:22:15.331025,726687468103008298,deathghoul_,1260668743659556929,general,my name is harsh,message,1,6.0
2024-11-11 04:22:23.210719,726687468103008298,deathghoul_,1260668743659556929,general,helo,message,1,7.0
2024-11-11 04:22:25.089631,726687468103008298,deathghoul_,1260668743659556929,general,test,message,1,8.0
2024-11-11 04:31:17.427981,726687468103008298,deathghoul_,1260668743659556929,general,test,message,1,9.0
2024-11-11 04:31:19.071874,726687468103008298,deathghoul_,1260668743659556929,general,test,message,1,10.0
